Date,Close,Volume
"Feb 24, 2010","1,105.24",0
"Feb 23, 2010","1,094.60",0
"Feb 22, 2010","1,108.01",0
"Feb 19, 2010","1,109.17",0
"Feb 18, 2010","1,106.75",0
"Feb 17, 2010","1,099.51",0
"Feb 16, 2010","1,094.87",0
"Feb 15, 2010","1,075.51",0
"Feb 12, 2010","1,075.51",0
"Feb 11, 2010","1,078.47",0
"Feb 10, 2010","1,068.13",0
"Feb 9, 2010","1,070.52",0
"Feb 8, 2010","1,056.74",0
"Feb 5, 2010","1,066.18",0
"Feb 4, 2010","1,063.11",0
"Feb 3, 2010","1,097.28",0
"Feb 2, 2010","1,103.31",0
"Feb 1, 2010","1,089.18",0
"Jan 29, 2010","1,073.87",0
"Jan 28, 2010","1,084.53",0
"Jan 27, 2010","1,097.50",0
"Jan 26, 2010","1,092.17",0
"Jan 25, 2010","1,096.78",0
"Jan 22, 2010","1,091.76",0
"Jan 21, 2010","1,116.48",0
"Jan 20, 2010","1,138.04",0
"Jan 19, 2010","1,150.23",0
"Jan 18, 2010","1,136.03",0
"Jan 15, 2010","1,136.03",0
"Jan 14, 2010","1,148.46",0
"Jan 13, 2010","1,145.68",0
"Jan 12, 2010","1,136.22",0
"Jan 11, 2010","1,146.98",0
"Jan 8, 2010","1,144.98",0
"Jan 7, 2010","1,141.68",0
"Jan 6, 2010","1,137.14",0
"Jan 5, 2010","1,136.52",0
"Jan 4, 2010","1,132.99",0
"Jan 1, 2010","1,115.10",0
"Dec 31, 2009","1,115.10",0
"Dec 30, 2009","1,126.42",0
"Dec 29, 2009","1,126.19",0
"Dec 28, 2009","1,127.78",0
"Dec 25, 2009","1,126.48",0
"Dec 24, 2009","1,126.48",0
"Dec 23, 2009","1,120.59",0
"Dec 22, 2009","1,118.02",0
"Dec 21, 2009","1,114.05",0
"Dec 18, 2009","1,102.47",0
"Dec 17, 2009","1,096.07",0
"Dec 16, 2009","1,109.18",0
"Dec 15, 2009","1,107.93",0
"Dec 14, 2009","1,114.11",0
"Dec 11, 2009","1,106.41",0
"Dec 10, 2009","1,102.35",0
"Dec 9, 2009","1,095.94",0
"Dec 8, 2009","1,091.93",0
"Dec 7, 2009","1,103.25",0
"Dec 4, 2009","1,105.98",0
"Dec 3, 2009","1,099.92",0
"Dec 2, 2009","1,109.24",0
"Dec 1, 2009","1,108.86",0
"Nov 30, 2009","1,095.63",0
"Nov 27, 2009","1,091.49",0
"Nov 26, 2009","1,110.63",0
"Nov 25, 2009","1,110.63",0
"Nov 24, 2009","1,105.65",0
"Nov 23, 2009","1,106.24",0
"Nov 20, 2009","1,091.38",0
"Nov 19, 2009","1,094.90",0
"Nov 18, 2009","1,109.80",0
"Nov 17, 2009","1,110.31",0
"Nov 16, 2009","1,109.30",0
"Nov 13, 2009","1,093.48",0
"Nov 12, 2009","1,087.24",0
"Nov 11, 2009","1,098.51",0
"Nov 10, 2009","1,093.01",0
"Nov 9, 2009","1,093.07",0
"Nov 6, 2009","1,069.30",0
"Nov 5, 2009","1,066.63",0
